<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.13	10:26:00	1.16140	1.16162	1.16140	1.16162	35	0	1
2025.11.13	10:27:00	1.16157	1.16162	1.16145	1.16146	41	0	1
2025.11.13	10:28:00	1.16147	1.16152	1.16128	1.16133	41	0	1
2025.11.13	10:29:00	1.16137	1.16140	1.16131	1.16139	42	0	1
2025.11.13	10:30:00	1.16138	1.16158	1.16135	1.16153	50	0	1
2025.11.13	10:31:00	1.16154	1.16159	1.16148	1.16152	42	0	1
2025.11.13	10:32:00	1.16150	1.16164	1.16144	1.16150	70	0	1
2025.11.13	10:33:00	1.16152	1.16155	1.16144	1.16149	42	0	1
2025.11.13	10:34:00	1.16149	1.16170	1.16146	1.16159	47	0	1
2025.11.13	10:35:00	1.16154	1.16159	1.16140	1.16144	46	0	1
2025.11.13	10:36:00	1.16148	1.16151	1.16130	1.16138	49	0	1
2025.11.13	10:37:00	1.16139	1.16141	1.16120	1.16121	51	0	1
2025.11.13	10:38:00	1.16122	1.16129	1.16105	1.16111	48	0	1
2025.11.13	10:39:00	1.16110	1.16110	1.16099	1.16105	37	0	1
2025.11.13	10:40:00	1.16104	1.16119	1.16100	1.16105	59	0	1
2025.11.13	10:41:00	1.16106	1.16119	1.16104	1.16104	41	0	1
2025.11.13	10:42:00	1.16102	1.16124	1.16102	1.16122	47	0	1
2025.11.13	10:43:00	1.16121	1.16125	1.16116	1.16122	32	0	1
2025.11.13	10:44:00	1.16120	1.16122	1.16109	1.16119	42	0	1
2025.11.13	10:45:00	1.16119	1.16135	1.16111	1.16130	34	0	1
2025.11.13	10:46:00	1.16129	1.16137	1.16120	1.16120	37	0	1
2025.11.13	10:47:00	1.16119	1.16130	1.16119	1.16130	24	0	1
2025.11.13	10:48:00	1.16130	1.16136	1.16128	1.16128	26	0	1
2025.11.13	10:49:00	1.16127	1.16142	1.16125	1.16140	50	0	1
2025.11.13	10:50:00	1.16139	1.16146	1.16119	1.16142	55	0	1
2025.11.13	10:51:00	1.16146	1.16175	1.16146	1.16171	38	0	1
2025.11.13	10:52:00	1.16171	1.16205	1.16170	1.16195	69	0	1
2025.11.13	10:53:00	1.16196	1.16223	1.16196	1.16211	84	0	1
2025.11.13	10:54:00	1.16211	1.16211	1.16194	1.16206	56	0	1
2025.11.13	10:55:00	1.16206	1.16233	1.16205	1.16228	50	0	1
2025.11.13	10:56:00	1.16226	1.16257	1.16226	1.16250	117	0	1
2025.11.13	10:57:00	1.16252	1.16279	1.16251	1.16261	80	0	1
2025.11.13	10:58:00	1.16263	1.16271	1.16255	1.16263	46	0	1
2025.11.13	10:59:00	1.16264	1.16296	1.16260	1.16284	68	0	1
2025.11.13	11:00:00	1.16284	1.16284	1.16260	1.16276	70	0	1
2025.11.13	11:01:00	1.16277	1.16290	1.16268	1.16271	67	0	1
2025.11.13	11:02:00	1.16270	1.16281	1.16256	1.16280	54	0	1
2025.11.13	11:03:00	1.16276	1.16280	1.16254	1.16260	72	0	1
2025.11.13	11:04:00	1.16262	1.16262	1.16234	1.16239	48	0	1
2025.11.13	11:05:00	1.16239	1.16250	1.16234	1.16240	67	0	1
2025.11.13	11:06:00	1.16240	1.16275	1.16240	1.16274	66	0	1
2025.11.13	11:07:00	1.16274	1.16300	1.16274	1.16298	105	0	1
2025.11.13	11:08:00	1.16293	1.16308	1.16285	1.16307	120	0	1
2025.11.13	11:09:00	1.16305	1.16336	1.16297	1.16334	73	0	1
2025.11.13	11:10:00	1.16329	1.16337	1.16324	1.16331	65	0	1
2025.11.13	11:11:00	1.16332	1.16348	1.16331	1.16347	71	0	1
2025.11.13	11:12:00	1.16347	1.16350	1.16325	1.16325	51	0	1
2025.11.13	11:13:00	1.16324	1.16348	1.16324	1.16344	74	0	1
2025.11.13	11:14:00	1.16347	1.16348	1.16311	1.16314	55	0	1
2025.11.13	11:15:00	1.16314	1.16335	1.16312	1.16333	65	0	1
2025.11.13	11:16:00	1.16329	1.16336	1.16315	1.16315	42	0	1
2025.11.13	11:17:00	1.16316	1.16318	1.16305	1.16307	40	0	1
2025.11.13	11:18:00	1.16307	1.16319	1.16305	1.16312	46	0	1
2025.11.13	11:19:00	1.16312	1.16319	1.16298	1.16302	42	0	1
2025.11.13	11:20:00	1.16303	1.16304	1.16288	1.16288	48	0	1
2025.11.13	11:21:00	1.16289	1.16295	1.16283	1.16285	53	0	1
2025.11.13	11:22:00	1.16287	1.16300	1.16285	1.16299	30	0	1
2025.11.13	11:23:00	1.16299	1.16311	1.16291	1.16295	52	0	1
2025.11.13	11:24:00	1.16296	1.16297	1.16285	1.16294	36	0	1
2025.11.13	11:25:00	1.16295	1.16309	1.16295	1.16309	21	0	1
2025.11.13	11:26:00	1.16312	1.16325	1.16312	1.16315	38	0	1
2025.11.13	11:27:00	1.16319	1.16327	1.16304	1.16305	39	0	1
2025.11.13	11:28:00	1.16305	1.16310	1.16299	1.16303	44	0	1
2025.11.13	11:29:00	1.16299	1.16305	1.16294	1.16304	29	0	1
2025.11.13	11:30:00	1.16306	1.16339	1.16274	1.16274	76	0	1
2025.11.13	11:31:00	1.16275	1.16285	1.16264	1.16265	65	0	1
2025.11.13	11:32:00	1.16263	1.16274	1.16253	1.16253	63	0	1
2025.11.13	11:33:00	1.16254	1.16258	1.16226	1.16229	72	0	1
2025.11.13	11:34:00	1.16229	1.16238	1.16224	1.16235	48	0	1
2025.11.13	11:35:00	1.16235	1.16235	1.16185	1.16187	67	0	1
2025.11.13	11:36:00	1.16186	1.16195	1.16174	1.16174	57	0	1
2025.11.13	11:37:00	1.16175	1.16180	1.16155	1.16155	44	0	1
2025.11.13	11:38:00	1.16157	1.16168	1.16149	1.16154	59	0	1
2025.11.13	11:39:00	1.16150	1.16150	1.16111	1.16132	72	0	1
2025.11.13	11:40:00	1.16134	1.16142	1.16124	1.16140	51	0	1
2025.11.13	11:41:00	1.16138	1.16138	1.16116	1.16116	49	0	1
2025.11.13	11:42:00	1.16116	1.16116	1.16105	1.16115	57	0	1
2025.11.13	11:43:00	1.16112	1.16141	1.16108	1.16134	63	0	1
2025.11.13	11:44:00	1.16136	1.16142	1.16130	1.16130	45	0	1
2025.11.13	11:45:00	1.16131	1.16158	1.16128	1.16158	37	0	1
2025.11.13	11:46:00	1.16160	1.16177	1.16154	1.16176	70	0	1
2025.11.13	11:47:00	1.16177	1.16185	1.16167	1.16185	72	0	1
2025.11.13	11:48:00	1.16184	1.16192	1.16179	1.16187	47	0	1
2025.11.13	11:49:00	1.16184	1.16200	1.16176	1.16192	55	0	1
2025.11.13	11:50:00	1.16199	1.16201	1.16191	1.16200	37	0	1
2025.11.13	11:51:00	1.16201	1.16204	1.16167	1.16176	52	0	1
2025.11.13	11:52:00	1.16180	1.16180	1.16154	1.16159	51	0	1
2025.11.13	11:53:00	1.16160	1.16178	1.16158	1.16175	49	0	1
2025.11.13	11:54:00	1.16174	1.16214	1.16171	1.16207	58	0	1
2025.11.13	11:55:00	1.16207	1.16207	1.16195	1.16197	48	0	1
